Date,Open,High,Low,Close,Volume,Turnover
24-08-2009,635,647,628.5,639.65,748302,4.7934E+13
25-08-2009,638.6,649.75,634.4,638.55,598748,3.84652E+13
26-08-2009,642.5,678,642.5,673.05,1986147,1.32024E+14
27-08-2009,677.7,681,655,661.9,1043480,6.97136E+13
28-08-2009,666.9,670,646,657.85,420319,2.76878E+13
31-08-2009,654,670,644.05,646.75,596677,3.91793E+13
01-09-2009,647.1,663.8,621.25,637.9,432400,2.80812E+13
02-09-2009,637,644,625.9,632.75,598649,3.79603E+13
03-09-2009,639,648,630,633.2,499555,3.20419E+13
04-09-2009,638.8,646.5,634.15,643.2,328296,2.10634E+13
07-09-2009,647.5,655,643,648.95,364917,2.36835E+13
08-09-2009,651,660.95,642,645.25,440033,2.87497E+13
09-09-2009,645.9,675.55,642,670.25,1103126,7.31567E+13
10-09-2009,675,689.85,665.25,672.6,1572600,1.0654E+14
11-09-2009,675,681,664.25,672.6,718973,4.8409E+13
14-09-2009,665,685,656.6,660.95,1076064,7.21428E+13
15-09-2009,669.9,677.4,665,673.35,659774,4.4292E+13
16-09-2009,678.8,759,673.85,746.6,4399622,3.17861E+14
17-09-2009,755,762,724.15,728.1,1704321,1.26229E+14
18-09-2009,730,776.8,724.45,764.7,2688548,2.04171E+14
22-09-2009,765,829.8,762.2,820.7,3350642,2.69409E+14
23-09-2009,819.8,836,811.25,814.9,2255235,1.85638E+14
24-09-2009,800,809,775.1,784.3,2149258,1.69337E+14
25-09-2009,787.85,804.9,766.1,769.35,1718027,1.34922E+14
29-09-2009,784.15,790.95,769.15,772.25,1043898,8.14644E+13
30-09-2009,777.4,779,767.5,772.15,635540,4.91681E+13
01-10-2009,774.75,774.75,745.25,753.1,1951320,1.47173E+14
05-10-2009,746,772.5,746,758.95,1249236,9.51025E+13
06-10-2009,761.2,771.35,738,760.15,883703,6.65035E+13
07-10-2009,766,812.4,762,792.8,2721756,2.15112E+14
08-10-2009,794,809.7,787.4,790.55,1298540,1.03656E+14
09-10-2009,793,799.8,775.2,780.4,693906,5.44422E+13
12-10-2009,782.4,792,762,773.7,944140,7.30855E+13
14-10-2009,779,809.8,779,803,1492539,1.19632E+14
15-10-2009,815,820,790.1,796.05,862472,6.9404E+13
16-10-2009,804.8,814,789.4,801.95,803704,6.4523E+13
17-10-2009,811,811,792.75,798.9,122126,9.78363E+12
20-10-2009,803.2,846.7,801,840.15,2131130,1.76751E+14
21-10-2009,865,865,831.5,836.6,1298715,1.09685E+14
22-10-2009,839,852.6,809,819.5,1017091,8.45957E+13
23-10-2009,838,859.5,832.3,853.7,1225361,1.04053E+14
26-10-2009,858,877.4,840.5,853.75,1479432,1.27775E+14
27-10-2009,850.5,866.7,805,808.45,1176269,9.80363E+13
28-10-2009,809,816.9,778,790.45,1520791,1.21089E+14
29-10-2009,778,792.75,736.25,751.05,1989714,1.52659E+14
30-10-2009,758,789,718,744.35,1562456,1.19765E+14
03-11-2009,728.7,745.6,688,694.6,1551661,1.10943E+14
04-11-2009,715,771.8,695,761.9,2036261,1.49533E+14
05-11-2009,760,792.5,748,788,1906304,1.4696E+14
06-11-2009,805,817.9,796,810.15,1097105,8.87826E+13
09-11-2009,814,904.4,808.5,892.3,2980720,2.55235E+14
10-11-2009,906,912,871.1,879.05,2156575,1.91331E+14
11-11-2009,867,894.6,847.5,881.25,3371302,2.94449E+14
12-11-2009,880.4,909.7,863.2,874.1,2907280,2.58804E+14
13-11-2009,875,889.5,868.35,875.1,971788,8.54382E+13
16-11-2009,877.1,891.9,865.1,877.05,914632,8.05773E+13
17-11-2009,880,900.8,870.1,881.6,1753650,1.55674E+14
18-11-2009,884,898,872.65,886.1,1094966,9.72354E+13
19-11-2009,887,892.85,848,854.4,941541,8.19069E+13
20-11-2009,850,864.6,823.1,859.95,1408743,1.19522E+14
23-11-2009,863,866.7,840.1,845.05,778228,6.60604E+13
24-11-2009,850.1,862.9,840.15,846.6,902918,7.6826E+13
25-11-2009,850,866.8,848.1,858.4,996456,8.55032E+13
26-11-2009,855,862,833.8,839.35,883123,7.44524E+13
27-11-2009,832,863.7,794.35,856.55,1375101,1.1382E+14
30-11-2009,855.65,876.5,853,860.25,995023,8.60793E+13
01-12-2009,863,873.5,859.2,869.55,821507,7.13173E+13
02-12-2009,876.9,884.5,848.65,855.2,1347725,1.17075E+14
03-12-2009,858,868.95,845,850.7,851151,7.30459E+13
04-12-2009,848.5,859.7,841.45,849.85,607571,5.18131E+13
07-12-2009,851,857,835,840.7,494876,4.19238E+13
08-12-2009,840.7,853.9,832.1,849.6,729734,6.14647E+13
09-12-2009,841,852.8,823.5,826.8,956137,7.99138E+13
10-12-2009,826,833,821,824.4,844149,6.97956E+13
11-12-2009,838,839.8,807.95,811,671029,5.50846E+13
14-12-2009,811,818,791.5,795,736403,5.909E+13
15-12-2009,800,802.75,781.5,785.4,888552,7.03038E+13
16-12-2009,778,799.7,776,790.05,736520,5.81338E+13
