Date,Open,High,Low,Close,Volume,Turnover
09-09-2015,5099.9,5116.8,5000,5049.95,55125,2.78988E+13
10-09-2015,5019.9,5115.6,4938.5,5054.7,56388,2.84902E+13
11-09-2015,5132.95,5132.95,4998.6,5036.85,20678,1.04404E+13
14-09-2015,5036,5181,5036,5148.85,61673,3.16146E+13
15-09-2015,5175.2,5269,5125,5246.95,69673,3.64036E+13
16-09-2015,5252.35,5265,5150,5200.1,41916,2.17702E+13
18-09-2015,5220,5274,4925,4965.6,344015,1.7257E+14
21-09-2015,4949,5022.5,4870,4935.9,70698,3.49928E+13
22-09-2015,4963,4964.9,4783.5,4821.4,125737,6.09833E+13
23-09-2015,4820.7,4879,4677.05,4844.9,143193,6.85472E+13
24-09-2015,4845.15,4890.65,4788.05,4868.1,28468,1.38083E+13
28-09-2015,4831.1,4916.3,4810,4822.75,22622,1.09993E+13
29-09-2015,4760.2,5149,4732.15,5110.95,104751,5.25129E+13
30-09-2015,5115,5200,5022,5131.25,84384,4.30329E+13
01-10-2015,5140,5190,5076.6,5107.55,51976,2.66292E+13
05-10-2015,5189.5,5233.5,5110.05,5207.55,43588,2.26411E+13
06-10-2015,5225,5242.4,5142.75,5165.4,74650,3.87538E+13
07-10-2015,5165,5200.05,5087.15,5120.1,59006,3.03486E+13
08-10-2015,5120.15,5120.15,5026.6,5041.45,40416,2.04246E+13
09-10-2015,5051.3,5178,4940,4996.35,50277,2.51833E+13
12-10-2015,4996.5,5039.75,4936.5,4963.4,49352,2.45758E+13
13-10-2015,4913,4995,4913,4976.65,35837,1.78161E+13
14-10-2015,4976.65,4985,4920,4939.9,20547,1.01577E+13
15-10-2015,4940,5050,4922,4984.35,34115,1.71006E+13
16-10-2015,5000,5021.95,4949,4980.4,23759,1.18022E+13
19-10-2015,5018.95,5045.45,4976.65,5015.45,41305,2.07099E+13
20-10-2015,5069,5349,5029,5310.85,377562,1.96321E+14
21-10-2015,5425,5427.7,5246,5358.05,150414,8.031E+13
23-10-2015,5375,5381.75,5256.55,5273.05,47076,2.49213E+13
26-10-2015,5289,5344.65,5260,5307.9,43296,2.2962E+13
27-10-2015,5300.05,5360,5287.7,5320.8,26216,1.39553E+13
28-10-2015,5326,5330.6,5182,5208.25,56872,2.976E+13
29-10-2015,5249.85,5249.85,5114.55,5162.1,107270,5.56747E+13
30-10-2015,5199,5248,5188,5222.35,41392,2.16112E+13
02-11-2015,5233,5250.05,5175.1,5223.2,24931,1.30247E+13
03-11-2015,5286,5289,5216.2,5253.4,20814,1.09167E+13
04-11-2015,5258.8,5350,5258.8,5344.95,40553,2.15759E+13
05-11-2015,5350,5370,5276.75,5325.65,59503,3.18371E+13
06-11-2015,5331,5331,5251.65,5297.35,40340,2.13722E+13
09-11-2015,5254.5,5400,5200,5346.15,31626,1.68797E+13
10-11-2015,5346.1,5397.7,5300,5342.2,34739,1.85587E+13
