Date,Open,High,Low,Close,Volume,Turnover
11-05-2018,1172.3,1183.2,1166.05,1180.75,1655853,1.94E+14
14-05-2018,1184.35,1191.5,1170,1189.3,2216047,2.62E+14
15-05-2018,1188.1,1208,1188.1,1194.55,2805987,3.36E+14
16-05-2018,1187.25,1198,1184.5,1189.95,3102502,3.70E+14
17-05-2018,1196,1197.45,1173.55,1182.9,4759799,5.65E+14
18-05-2018,1183,1186.55,1173,1183.2,3569830,4.22E+14
21-05-2018,1179.55,1188.4,1170,1179.5,4237660,5.01E+14
22-05-2018,1175,1198,1173.9,1193.85,2818402,3.35E+14
23-05-2018,1195,1207.65,1181.5,1184.9,4769221,5.72E+14
24-05-2018,1198,1227.55,1198,1221,4870285,5.93E+14
25-05-2018,1230.1,1248.65,1220.8,1228.3,4450719,5.51E+14
28-05-2018,1231,1232.6,1206,1214.4,2869897,3.50E+14
29-05-2018,1214.05,1226.55,1206.2,1216.7,1694467,2.06E+14
30-05-2018,1217,1228.75,1205.6,1211.7,3161533,3.84E+14
31-05-2018,1211.7,1242,1210.25,1231.8,9860170,1.21E+15
01-06-2018,1230.4,1246.25,1217.2,1220.8,2499178,3.07E+14
04-06-2018,1221.1,1243,1212,1239.4,2135078,2.63E+14
05-06-2018,1242,1242,1217,1220.85,2355431,2.89E+14
06-06-2018,1225.2,1241.55,1220.05,1237.45,2019092,2.49E+14
07-06-2018,1238,1258,1238,1252.45,3338113,4.18E+14
08-06-2018,1248,1262,1246.05,1260.05,3229939,4.06E+14
11-06-2018,1265.55,1270,1255.05,1262.4,2585645,3.26E+14
12-06-2018,1265.75,1271.25,1250.45,1258.5,3919910,4.93E+14
13-06-2018,1266.8,1284,1266.8,1274.8,2883464,3.68E+14
14-06-2018,1253,1253,1234.1,1239.7,3799424,4.72E+14
15-06-2018,1237,1291.5,1235,1281.25,9978880,1.26E+15
18-06-2018,1284,1291.25,1262.35,1267.4,4107423,5.23E+14
19-06-2018,1263,1263.4,1238.05,1241.6,3772850,4.69E+14
20-06-2018,1248.5,1252.35,1238,1243.15,2685901,3.34E+14
21-06-2018,1245.95,1256.5,1236,1246.55,2899395,3.62E+14
22-06-2018,1243,1255.5,1241.2,1247.85,2171559,2.71E+14
25-06-2018,1257.15,1278.8,1254,1272.45,3865589,4.91E+14
26-06-2018,1269,1283.9,1266.25,1277.85,2241752,2.86E+14
27-06-2018,1283.95,1293.45,1265.6,1270,3476071,4.46E+14
28-06-2018,1276.3,1298,1276.25,1289.6,5498409,7.09E+14
29-06-2018,1298.05,1315,1283.25,1307.2,4983300,6.47E+14
02-07-2018,1314,1340,1314,1334.7,2415072,3.20E+14
03-07-2018,1331.9,1357.9,1331.75,1353.75,4063726,5.47E+14
04-07-2018,1352.05,1352.65,1338.85,1345.2,2512861,3.38E+14
05-07-2018,1347.1,1347.25,1268.1,1284,8509951,1.10E+15
06-07-2018,1290.25,1301.85,1269,1284.25,5607678,7.18E+14
09-07-2018,1297,1303,1279.05,1298.85,3322499,4.30E+14
10-07-2018,1308.5,1315.45,1294.3,1301.4,2987244,3.90E+14
11-07-2018,1317.55,1342.1,1291.35,1320.45,5949916,7.84E+14
